73418,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,1,2,1,0,0,0,0,1,2,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,2,0,0,2,0,4,1,0,1,0,0,1,2,0,0,0,0,0,1,0,4,0,0,3,0,0,0,2,0,0,0,2,1,0,0,0,3,0,0,0,3,0,2,2,0,1,0,1,0,0,3,3,0,0,1,0,1,3,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2,1,0,5,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,1,1,0,2,0,1,0,1,3,0,0,0,1,1,0,5,0,0,0,3,4,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,1,0,3,0,0,0,1,0,0,0,3,2,0,1,1,2,0,1,0,0,3,1,1,0,0,2,0,1,4,0,0,0,0,0,1,1,4,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,3,2,0,0,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,1,0,1,2,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,6,0,1,0,0,3,4,11,0,1,16,2,0,0,0,0,0,0,6,0,0,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,14,1,2,0,1,1,0,2,0,0,2,0,0,0,0,3,0,0,0,3,0,1,3,0,0,1,0,0,0,10,0,0,3,0,0,0,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,0,2,0,1,2,1,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,5,2,2,0,1,1,1,2,2,17,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73271,3,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,1,1,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,0,3,0,0,0,0,0,1,0,4,3,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,1,3,0,0,1,1,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,4,0,0,1,0,0,0,1,0,8,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,9,0,0,0,0,2,0,1,4,2,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,7,0,0,0,1,0,0,0,1,0,0,1,3,0,1,0,0,0,3,6,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,6,0,2,0,4,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,7,0,0,0,1,0,0,0,1,0,0,0,4,0,8,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,5,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,2,1,0,0,0,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,1,0,1,0,0,0,0,1,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73287,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,1,0,3,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,4,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,5,1,0,0,1,2,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,1,1,0,0,0,0,0,0,0,6,0,0,1,0,2,1,1,0,0,0,0,0,1,2,0,0,0,4,1,1,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,3,0,2,3,0,1,0,0,0,2,11,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,1,0,0,0,0,0,0,0,0,11,0,1,5,0,0,0,0,0,0,0,1,1,0,7,1,0,1,13,0,2,2,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,2,0,0,0,9,1,0,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,1,0,2,0,0,0,1,1,0,2,5,0,0,1,5,0,0,0,0,2,0,0,0,2,0,3,0,0,0,2,1,0,0,3,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,2,1,0,0,3,0,0,0,0,3,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,2,2,0,1,0,0,0,0,3,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73435,1,1,0,0,0,0,3,0,2,0,0,1,0,0,0,1,0,0,2,0,3,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,3,1,0,1,0,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,2,3,1,0,0,0,0,0,10,0,0,0,2,9,0,0,0,1,0,0,3,1,0,0,0,1,0,0,0,2,0,1,0,1,0,0,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,1,0,4,0,0,2,1,4,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,0,2,0,1,0,3,0,0,1,0,1,0,0,1,0,0,0,0,2,1,1,0,4,4,4,3,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,1,0,2,0,3,0,1,0,0,0,2,0,0,1,3,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,1,2,4,2,1,0,1,0,0,0,0,1,0,6,2,1,0,0,1,0,1,0,0,0,0,1,1,0,2,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,1,3,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,2,1,1,0,0,1,1,1,0,7,9,5,0,0,0,0,0,3,4,3,0,5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,2,0,2,1,0,1,1,0,0,2,4,0,4,1,0,0,0,1,3,0,1,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,2,0,8,0,0,1,0,0,0,0,2,0,3,0,2,0,0,0,1,0,0,0,0,0,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1,2,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,1,1,2,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,4,2,1,2,1,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73369,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,5,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73462,0,1,0,0,1,0,28,0,0,0,0,0,1,0,1,3,1,0,3,1,1,2,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,4,2,4,0,1,0,1,0,0,2,0,0,0,5,3,0,0,0,0,3,0,4,0,1,1,1,0,0,0,0,0,1,2,0,0,0,0,2,0,0,1,3,0,0,0,0,2,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,2,0,0,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,3,3,0,0,1,0,1,1,0,0,0,0,1,1,2,0,0,4,0,0,0,1,0,0,1,0,1,0,0,1,1,2,0,0,0,0,0,0,5,1,0,0,1,1,0,0,6,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,1,0,0,4,0,1,0,1,1,10,2,0,0,0,0,0,0,1,1,6,0,0,2,0,0,4,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,4,1,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,0,0,15,0,0,1,0,0,8,1,11,0,0,1,0,0,0,2,1,4,0,0,4,0,0,0,0,0,2,1,3,0,0,1,2,2,4,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,1,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,14,5,3,6,2,0,0,0,0,0,4,0,1,0,0,1,0,2,6,0,0,1,2,8,1,0,0,0,5,1,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,4,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,5,0,0,4,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73372,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,1,1,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,3,0,0,0,1,0,2,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,1,2,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,8,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,1,0,0,0,0,3,0,0,1,2,0,0,1,0,0,0,0,2,0,2,0,0,2,2,1,0,0,3,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,4,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73303,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,2,0,0,0,0,1,0,1,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,3,0,1,0,0,4,0,0,6,1,0,2,3,0,1,0,2,0,0,1,4,1,0,1,0,0,4,0,0,0,0,0,0,0,1,4,1,0,0,2,0,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,2,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,6,0,0,0,0,2,0,0,0,3,0,0,6,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,6,0,0,1,0,9,0,0,0,1,0,0,0,1,0,0,0,2,8,0,0,0,2,1,0,2,0,0,0,0,0,3,2,0,0,4,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,2,9,1,0,0,0,0,3,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,4,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1,1,0,0,1,0,0,2,0,0,10,0,1,35,2,1,0,0,0,0,3,2,1,0,1,2,0,2,0,0,2,0,0,5,1,0,0,0,2,0,0,0,0,5,0,0,0,2,0,0,4,2,2,0,0,0,0,6,0,0,0,0,0,0,1,8,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,2,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,4,0,0,0,5,0,2,0,1,0,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,10,0,0,0,0,0,5,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,3,19,0,0,1,7,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,3,1,0,0,0,1,0,0,0,0,4,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
